datetime,mid
2025-11-02,1.5610465720582312
2025-11-03,165.0035924374923
2025-11-04,47.487138242890154
2025-11-05,131.27642997203344
2025-11-06,61.1687279325387
2025-11-07,51.86087003805375
2025-11-09,14.892874907662577
2025-11-10,34.81967296483392
2025-11-11,75.57206951368866
2025-11-12,36.162345774841604
2025-11-13,35.95592431864483
2025-11-14,80.35848542640491
2025-11-16,21.548748623565675
2025-11-17,38.08915478559067
2025-11-18,97.64318152105406
2025-11-19,70.05694712014626
2025-11-20,43.96714158593922
2025-11-21,43.238527764580574
2025-11-23,6.733306816381912
2025-11-24,47.32409960829288
2025-11-25,25.395033449984325
2025-11-26,28.09723236424083
2025-11-27,51.90925264168872
2025-11-28,36.39267011748319
2025-12-01,58.316020969384695
2025-12-02,33.857334682825396
2025-12-03,59.751261101405504
2025-12-04,74.74566897377595
2025-12-05,48.328656036956055
2025-12-07,8.67395957563647
2025-12-08,41.987832793992126
2025-12-09,35.40635784586823
2025-12-10,72.48178775395647
2025-12-11,51.828967862135194
2025-12-12,55.923145783206216
2025-12-14,2.005293818107684
2025-12-15,51.54432128497422
2025-12-16,44.265346841973056
2025-12-17,51.96155041538041
2025-12-18,95.73183725018241
2025-12-19,44.366750244663834
2025-12-21,2.829739737819043
2025-12-22,86.72207828397516
2025-12-23,39.16094943669248
2025-12-24,61.247442434220694
2025-12-25,30.871176919927727
2025-12-26,42.58171874981518
2025-12-28,2.1430013904171723
2025-12-29,50.560875534853324
2025-12-30,79.79828618282201
2025-12-31,44.73321616415348
2026-01-01,3.932288427040748
2026-01-02,37.362493874091506
2026-01-04,3.7898690878385435
2026-01-05,35.52124488615588
2026-01-06,39.41650483145961
2026-01-07,28.804812185003208
2026-01-08,32.639747259700776
2026-01-09,35.56332452467911
2026-01-11,12.035583859244033
2026-01-12,95.6349183310901
2026-01-13,34.98278547050185
2026-01-14,48.535769716983886
2026-01-15,36.05342598106347
2026-01-16,45.708261033397584
2026-01-18,2.1431639730223364
2026-01-19,72.47451910411246
2026-01-20,43.9101510129869
2026-01-21,75.1116380183162
2026-01-22,57.81517666316777
2026-01-23,55.3086744538192
2026-01-25,2.146200274573625
2026-01-26,64.48032422666613
2026-01-27,41.15233677376631
2026-01-28,64.32864499647872
2026-01-29,41.34381142319439
2026-01-30,59.65140404766531
